,name,taste,url,timestamp,retailer,Weight250,curreny,price250,Weight1000,price1000,typ,origin_list,country1,country2,country3,country4,country5
0,Mocca,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,2022-12-09 09:03:12.715878+00:00,Rast Kaffee,250,CHF,6.30,1000,22.90,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,
1,Visconti,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,2022-12-09 09:03:12.774895+00:00,Rast Kaffee,250,CHF,6.30,1000,22.90,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,
2,Wiener,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,2022-12-09 09:03:12.837426+00:00,Rast Kaffee,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,
3,Eldorado,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,2022-12-09 09:03:12.940644+00:00,Rast Kaffee,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,
4,Premium,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,2022-12-09 09:03:13.092228+00:00,Rast Kaffee,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,
5,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,2022-12-09 09:03:13.101077+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
6,Festival,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,2022-12-09 09:03:13.108198+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,
7,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,2022-12-09 09:03:13.115221+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala
8,Latino No 5,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,2022-12-09 09:03:13.122648+00:00,Rast Kaffee,250,CHF,9.00,1000,33.90,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien
9,Fairtrade Crème,"dunkle Schokolade, Haselnuss, Karamell",https://www.rastshop.ch/de/kaffee/fairtrade-creme,2022-12-09 09:03:13.245174+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,
10,Bio Crème,"Waldbeere, schwarze Kirsche",https://www.rastshop.ch/de/kaffee/bio-creme,2022-12-09 09:03:13.256542+00:00,Rast Kaffee,250,CHF,7.80,1000,28.90,Kaffee-Mischung,"Peru,Äthiopien,Indonesien",Peru,Äthiopien,Indonesien,,
11,Rainforest Crème,"Baumnuss, Schokolade, herb",https://www.rastshop.ch/de/kaffee/rainforest-creme,2022-12-09 09:03:13.263431+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Guatemala,Brasilien,CostaRica",Guatemala,Brasilien,CostaRica,,
12,Jubiläums-Edition,"Aprikose, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/jubilaums-edition,2022-12-09 09:03:13.270066+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
13,Home-Office,"Haselnuss, getrocknete Aprikose",https://www.rastshop.ch/de/kaffee/home-office,2022-12-09 09:03:13.276541+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,
14,Milano,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/milano,2022-12-09 09:03:13.283094+00:00,Rast Kaffee,250,CHF,6.30,1000,22.90,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,
15,Roma,"würzig, angenehme Röstaromen",https://www.rastshop.ch/de/kaffee/roma,2022-12-09 09:03:13.289483+00:00,Rast Kaffee,250,CHF,6.50,1000,23.90,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,
16,Sicilia,"nussig, Bittermandel",https://www.rastshop.ch/de/kaffee/sicilia,2022-12-09 09:03:13.295904+00:00,Rast Kaffee,250,CHF,6.50,1000,23.90,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,
17,Venezia,"süsse, rote Beeren",https://www.rastshop.ch/de/kaffee/venezia,2022-12-09 09:03:13.302276+00:00,Rast Kaffee,250,CHF,6.50,1000,23.90,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,
18,Vesuvio,"würzig, leichte Rauchnote",https://www.rastshop.ch/de/kaffee/vesuvio,2022-12-09 09:03:13.308764+00:00,Rast Kaffee,250,CHF,6.60,1000,24.40,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,
19,Barista Espresso,"Mandel, Zitrusnote",https://www.rastshop.ch/de/kaffee/barista-espresso,2022-12-09 09:03:13.315532+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien
20,Tropical Rainforest,"Süssholz, Karamell, gebrannte Mandeln",https://www.rastshop.ch/de/kaffee/tropical-rainforest,2022-12-09 09:03:13.322243+00:00,Rast Kaffee,250,CHF,6.30,1000,22.90,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,
21,Fairtrade Espresso,"Haselnuss, leicht erdig, zartbitter, Süssholz",https://www.rastshop.ch/de/kaffee/fairtrade-espresso,2022-12-09 09:03:13.329402+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,
22,Bio Espresso,dunkle Nussschokolade,https://www.rastshop.ch/de/kaffee/bio-espresso,2022-12-09 09:03:13.336284+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,
23,Rainforest Espresso,"Bittermandel, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/rainforest-espresso,2022-12-09 09:03:13.342900+00:00,Rast Kaffee,250,CHF,6.30,1000,22.90,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,
24,La Pastora Tarrazu,"Lemon, Aprikose, schokoladig",https://www.rastshop.ch/de/kaffee/la-pastora-tarrazu,2022-12-09 09:03:13.349601+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,CostaRica,CostaRica,,,,
25,Serrano Lavado,"Walnuss, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/serrano-lavado,2022-12-09 09:03:13.369127+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Kuba,Kuba,,,,
26,Antigua,"Haselnuss, Bitterschokolade",https://www.rastshop.ch/de/kaffee/antigua-la-ceiba,2022-12-09 09:03:13.377841+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Guatemala,Guatemala,,,,
27,Herminio Bio,"Zitrus, Früchtetee, Nussschokolade",https://www.rastshop.ch/de/kaffee/herminio-bio,2022-12-09 09:03:13.423075+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Guatemala,Guatemala,,,,
28,Blue Mountain,"Erdnuss, Haselnuss, Karamell, Schokolade",https://www.rastshop.ch/de/kaffee/blue-mountain-wallenford-estate,2022-12-09 09:03:13.435068+00:00,Rast Kaffee,250,CHF,39.50,1000,156.00,Einzelsorte,Jamaika,Jamaika,,,,
29,Iglesia,"Limette, Assam-Tee, Mandel, Walnuss",https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo,2022-12-09 09:03:13.443697+00:00,Rast Kaffee,250,CHF,11.80,1000,44.90,Einzelsorte,Mexiko,Mexiko,,,,
30,Xochiltepec,"Mandel, Schokolade, rote Beeren",https://www.rastshop.ch/de/kaffee/xochiltepec,2022-12-09 09:03:13.450468+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Mexiko,Mexiko,,,,
31,Comsa Fairtrade,"Orange, Tabak, Baumnuss",https://www.rastshop.ch/de/kaffee/comsa-fairtrade,2022-12-09 09:03:13.457040+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Honduras,Honduras,,,,
32,Geisha natural,"Pflaume, Mango, Ananas",https://www.rastshop.ch/de/kaffee/geisha-natural,2022-12-09 09:03:13.463741+00:00,Rast Kaffee,250,CHF,36.50,1000,144.00,Einzelsorte,Panama,Panama,,,,
33,Geisha washed,"Bergamotte, Jasmin, Honig, Apfel",https://www.rastshop.ch/de/kaffee/geisha-washed,2022-12-09 09:03:13.470333+00:00,Rast Kaffee,250,CHF,36.50,1000,144.00,Einzelsorte,Panama,Panama,,,,
34,Bahareque Fairtrade,"nussig, Schokolade, Pfirsich",https://www.rastshop.ch/de/kaffee/bahareque-fairtrade,2022-12-09 09:03:13.477274+00:00,Rast Kaffee,250,CHF,7.30,1000,26.90,Einzelsorte,Kolumbien,Kolumbien,,,,
35,Vista Alegre,"Steinobst, Haselnuss, Honig",https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre,2022-12-09 09:03:13.489419+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Brasilien,Brasilien,,,,
36,Apas Fairtrade,"Muskat, Bitterschokolade, süsslich",https://www.rastshop.ch/de/kaffee/apas-fairtrade,2022-12-09 09:03:13.510771+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Brasilien,Brasilien,,,,
37,Taioba,"Bitterschokolade, Lebkuchen, Karamell, Kandis",https://www.rastshop.ch/de/kaffee/taioba-fazenda-agua-limpa,2022-12-09 09:03:13.520020+00:00,Rast Kaffee,250,CHF,9.80,1000,36.90,Einzelsorte,Brasilien,Brasilien,,,,
38,Yellow Bourbon,"Honig, Baumnuss",https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia,2022-12-09 09:03:13.526958+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Brasilien,Brasilien,,,,
39,El Palto BIO Fairtrade,"Schokolade, Bittermandel",https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade,2022-12-09 09:03:13.533930+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Peru,Peru,,,,
40,Vilcabamba,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/vilcabamba,2022-12-09 09:03:13.540739+00:00,Rast Kaffee,250,CHF,8.50,1000,31.90,Einzelsorte,Ecuador,Ecuador,,,,
41,Pink Bourbon,"Baumnuss, Lakritze",https://www.rastshop.ch/de/kaffee/pink-bourbon,2022-12-09 09:03:13.547619+00:00,Rast Kaffee,250,CHF,10.30,1000,38.90,Einzelsorte,Kolumbien,Kolumbien,,,,
42,Guji BIO,"Orange, leichte Schokoladennote",https://www.rastshop.ch/de/kaffee/guji,2022-12-09 09:03:13.554587+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Äthiopien,Äthiopien,,,,
43,Yirga Cheffe BIO,"Limettenzeste, Pfirsich, Lakritze",https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio,2022-12-09 09:03:13.561404+00:00,Rast Kaffee,250,CHF,8.50,1000,31.90,Einzelsorte,Äthiopien,Äthiopien,,,,
44,Limu,"Aprikose, tropische Früchte, Schwarztee",https://www.rastshop.ch/de/kaffee/limu,2022-12-09 09:03:13.568232+00:00,Rast Kaffee,250,CHF,7.80,1000,28.90,Einzelsorte,Äthiopien,Äthiopien,,,,
45,Nyeri,"Grapefruit, Cassis",https://www.rastshop.ch/de/kaffee/nyeri-kenia,2022-12-09 09:03:13.575174+00:00,Rast Kaffee,250,CHF,8.80,1000,32.90,Einzelsorte,Kenia,Kenia,,,,
46,Bukoba Bio Fairtrade,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade,2022-12-09 09:03:13.582216+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Einzelsorte,Tansania,Tansania,,,,
47,Laurina Pointu de Bourbon,"Litschi, Gewürze, Kakao",https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon,2022-12-09 09:03:13.611315+00:00,Rast Kaffee,250,CHF,122.00,1000,486.00,Einzelsorte,LaRéunion,LaRéunion,,,,
48,Butihinda,"Schwarztee, Pfirsich",https://www.rastshop.ch/de/kaffee/butihinda,2022-12-09 09:03:13.623749+00:00,Rast Kaffee,250,CHF,9.30,1000,34.90,Einzelsorte,Burundi,Burundi,,,,
49,Somaho,"Mango, Pfirsich, leicht blumig",https://www.rastshop.ch/de/kaffee/somaho,2022-12-09 09:03:13.631019+00:00,Rast Kaffee,250,CHF,10.30,1000,38.90,Einzelsorte,Rwanda,Rwanda,,,,
50,Java Baron,"Kakao, Walnuss, leichte Tabaknoten",https://www.rastshop.ch/de/kaffee/java-baron,2022-12-09 09:03:13.638178+00:00,Rast Kaffee,250,CHF,6.50,1000,23.90,Einzelsorte,Indonesien,Indonesien,,,,
51,"Mandheling, Gold","würzig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/mandheling-gold,2022-12-09 09:03:13.645139+00:00,Rast Kaffee,250,CHF,7.30,1000,26.90,Einzelsorte,Indonesien,Indonesien,,,,
52,Malabar,"nussig, mild, Gewürze",https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall,2022-12-09 09:03:13.652409+00:00,Rast Kaffee,250,CHF,6.80,1000,24.90,Einzelsorte,Indien,Indien,,,,
53,Plantation RFA,"würzig, Schokolade, leicht Pflaume",https://www.rastshop.ch/de/kaffee/plantation-rfa,2022-12-09 09:03:13.659524+00:00,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Indien,Indien,,,,
54,Kerkeicoondah,"nussig, würzig, schokoladig",https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm,2022-12-09 09:03:13.666571+00:00,Rast Kaffee,250,CHF,9.30,1000,34.90,Einzelsorte,Indien,Indien,,,,
55,Ponya,"reife Erdbeeren, Mascarpone",https://www.rastshop.ch/de/kaffee/ponya-palthope-estate,2022-12-09 09:03:13.673795+00:00,Rast Kaffee,250,CHF,10.30,1000,38.90,Einzelsorte,Indien,Indien,,,,
56,Chin Litäi,"Beeren, Orange",https://www.rastshop.ch/de/kaffee/chin-litai,2022-12-09 09:03:13.680950+00:00,Rast Kaffee,250,CHF,9.30,1000,34.90,Einzelsorte,Myanmar,Myanmar,,,,
57,Sigri,"nussig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/sigri-estate-plantation,2022-12-09 09:03:13.688147+00:00,Rast Kaffee,250,CHF,7.30,1000,26.90,Einzelsorte,Papua-Neuguinea,Papua-Neuguinea,,,,
58,Dornröschen,"dunkle Schokolade, getrocknete Aprikosen",https://www.rastshop.ch/de/kaffee/dornroschen,2022-12-09 09:03:13.695335+00:00,Rast Kaffee,250,CHF,7.30,1000,26.90,Koffeinfreie Mischung,Brasilien,Brasilien,,,,
59,Koffeinfrei Fairtrade,Schokolade,https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade,2022-12-09 09:03:13.703619+00:00,Rast Kaffee,250,CHF,7.50,1000,27.90,Koffeinfreie Mischung,Peru,Peru,,,,
