Unnamed: 0.1,Unnamed: 0,name,taste,url,price_250g,price_1000g,timestamp,retailer,Weight250,price250gcurrency,curreny,price250,Weight1000,price1000gcurrency,price1000,typ,origin_list,country1,country2,country3,country4,country5
0,0,Mocca,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.018890+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,
1,1,Visconti,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.090485+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,
2,2,Wiener,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.198905+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,
3,3,Eldorado,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.224035+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,
4,4,Premium,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.312571+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,
5,5,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.317152+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
6,6,Festival,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.321468+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,
7,7,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.325883+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala
8,8,Latino No 5,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,250 g à CHF 9.00,1 kg à CHF 33.90,2022-12-08 15:29:54.330045+00:00,Rast Kaffee,250,CHF 9.00,CHF,9.0,1000,CHF 33.90,33.9,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien
9,9,Fairtrade Crème,"dunkle Schokolade, Haselnuss, Karamell",https://www.rastshop.ch/de/kaffee/fairtrade-creme,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.379860+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,
10,10,Bio Crème,"Waldbeere, schwarze Kirsche",https://www.rastshop.ch/de/kaffee/bio-creme,250 g à CHF 7.80,1 kg à CHF 28.90,2022-12-08 15:29:54.386510+00:00,Rast Kaffee,250,CHF 7.80,CHF,7.8,1000,CHF 28.90,28.9,Kaffee-Mischung,"Peru,Äthiopien,Indonesien",Peru,Äthiopien,Indonesien,,
11,11,Rainforest Crème,"Baumnuss, Schokolade, herb",https://www.rastshop.ch/de/kaffee/rainforest-creme,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.390723+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Guatemala,Brasilien,CostaRica",Guatemala,Brasilien,CostaRica,,
12,12,Jubiläums-Edition,"Aprikose, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/jubilaums-edition,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.394933+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
13,13,Home-Office,"Haselnuss, getrocknete Aprikose",https://www.rastshop.ch/de/kaffee/home-office,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.399122+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,
14,14,Milano,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/milano,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.403340+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,
15,15,Roma,"würzig, angenehme Röstaromen",https://www.rastshop.ch/de/kaffee/roma,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.407452+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,
16,16,Sicilia,"nussig, Bittermandel",https://www.rastshop.ch/de/kaffee/sicilia,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.411681+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,
17,17,Venezia,"süsse, rote Beeren",https://www.rastshop.ch/de/kaffee/venezia,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.415860+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,
18,18,Vesuvio,"würzig, leichte Rauchnote",https://www.rastshop.ch/de/kaffee/vesuvio,250 g à CHF 6.60,1 kg à CHF 24.40,2022-12-08 15:29:54.420107+00:00,Rast Kaffee,250,CHF 6.60,CHF,6.6,1000,CHF 24.40,24.4,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,
19,19,Barista Espresso,"Mandel, Zitrusnote",https://www.rastshop.ch/de/kaffee/barista-espresso,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.424230+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien
20,20,Tropical Rainforest,"Süssholz, Karamell, gebrannte Mandeln",https://www.rastshop.ch/de/kaffee/tropical-rainforest,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.428421+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,
21,21,Fairtrade Espresso,"Haselnuss, leicht erdig, zartbitter, Süssholz",https://www.rastshop.ch/de/kaffee/fairtrade-espresso,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.432627+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,
22,22,Bio Espresso,dunkle Nussschokolade,https://www.rastshop.ch/de/kaffee/bio-espresso,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.436857+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,
23,23,Rainforest Espresso,"Bittermandel, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/rainforest-espresso,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.441011+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,
24,24,La Pastora Tarrazu,"Lemon, Aprikose, schokoladig",https://www.rastshop.ch/de/kaffee/la-pastora-tarrazu,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.445204+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,CostaRica,CostaRica,,,,
25,25,Serrano Lavado,"Walnuss, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/serrano-lavado,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.466073+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,Kuba,Kuba,,,,
26,26,Antigua,"Haselnuss, Bitterschokolade",https://www.rastshop.ch/de/kaffee/antigua-la-ceiba,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.473068+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,Guatemala,Guatemala,,,,
27,27,Herminio Bio,"Zitrus, Früchtetee, Nussschokolade",https://www.rastshop.ch/de/kaffee/herminio-bio,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.477389+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,Guatemala,Guatemala,,,,
28,28,Blue Mountain,"Erdnuss, Haselnuss, Karamell, Schokolade",https://www.rastshop.ch/de/kaffee/blue-mountain-wallenford-estate,250 g à CHF 39.50,1 kg à CHF 156.00,2022-12-08 15:29:54.481710+00:00,Rast Kaffee,250,CHF 39.50,CHF,39.5,1000,CHF 156.00,156.0,Einzelsorte,Jamaika,Jamaika,,,,
29,29,Iglesia,"Limette, Assam-Tee, Mandel, Walnuss",https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo,250 g à CHF 11.80,1 kg à CHF 44.90,2022-12-08 15:29:54.486124+00:00,Rast Kaffee,250,CHF 11.80,CHF,11.8,1000,CHF 44.90,44.9,Einzelsorte,Mexiko,Mexiko,,,,
30,30,Xochiltepec,"Mandel, Schokolade, rote Beeren",https://www.rastshop.ch/de/kaffee/xochiltepec,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.490550+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,Mexiko,Mexiko,,,,
31,31,Comsa Fairtrade,"Orange, Tabak, Baumnuss",https://www.rastshop.ch/de/kaffee/comsa-fairtrade,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.495057+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Einzelsorte,Honduras,Honduras,,,,
32,32,Geisha natural,"Pflaume, Mango, Ananas",https://www.rastshop.ch/de/kaffee/geisha-natural,250 g à CHF 36.50,1 kg à CHF 144.00,2022-12-08 15:29:54.499457+00:00,Rast Kaffee,250,CHF 36.50,CHF,36.5,1000,CHF 144.00,144.0,Einzelsorte,Panama,Panama,,,,
33,33,Geisha washed,"Bergamotte, Jasmin, Honig, Apfel",https://www.rastshop.ch/de/kaffee/geisha-washed,250 g à CHF 36.50,1 kg à CHF 144.00,2022-12-08 15:29:54.503964+00:00,Rast Kaffee,250,CHF 36.50,CHF,36.5,1000,CHF 144.00,144.0,Einzelsorte,Panama,Panama,,,,
34,34,Bahareque Fairtrade,"nussig, Schokolade, Pfirsich",https://www.rastshop.ch/de/kaffee/bahareque-fairtrade,250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 15:29:54.508777+00:00,Rast Kaffee,250,CHF 7.30,CHF,7.3,1000,CHF 26.90,26.9,Einzelsorte,Kolumbien,Kolumbien,,,,
35,35,Vista Alegre,"Steinobst, Haselnuss, Honig",https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.517345+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Einzelsorte,Brasilien,Brasilien,,,,
36,36,Apas Fairtrade,"Muskat, Bitterschokolade, süsslich",https://www.rastshop.ch/de/kaffee/apas-fairtrade,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.524755+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Einzelsorte,Brasilien,Brasilien,,,,
37,37,Taioba,"Bitterschokolade, Lebkuchen, Karamell, Kandis",https://www.rastshop.ch/de/kaffee/taioba-fazenda-agua-limpa,250 g à CHF 9.80,1 kg à CHF 36.90,2022-12-08 15:29:54.529207+00:00,Rast Kaffee,250,CHF 9.80,CHF,9.8,1000,CHF 36.90,36.9,Einzelsorte,Brasilien,Brasilien,,,,
38,38,Yellow Bourbon,"Honig, Baumnuss",https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.533589+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,Brasilien,Brasilien,,,,
39,39,El Palto BIO Fairtrade,"Schokolade, Bittermandel",https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.537898+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,Peru,Peru,,,,
40,40,Vilcabamba,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/vilcabamba,250 g à CHF 8.50,1 kg à CHF 31.90,2022-12-08 15:29:54.542433+00:00,Rast Kaffee,250,CHF 8.50,CHF,8.5,1000,CHF 31.90,31.9,Einzelsorte,Ecuador,Ecuador,,,,
41,41,Pink Bourbon,"Baumnuss, Lakritze",https://www.rastshop.ch/de/kaffee/pink-bourbon,250 g à CHF 10.30,1 kg à CHF 38.90,2022-12-08 15:29:54.546919+00:00,Rast Kaffee,250,CHF 10.30,CHF,10.3,1000,CHF 38.90,38.9,Einzelsorte,Kolumbien,Kolumbien,,,,
42,42,Guji BIO,"Orange, leichte Schokoladennote",https://www.rastshop.ch/de/kaffee/guji,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.551419+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Einzelsorte,Äthiopien,Äthiopien,,,,
43,43,Yirga Cheffe BIO,"Limettenzeste, Pfirsich, Lakritze",https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio,250 g à CHF 8.50,1 kg à CHF 31.90,2022-12-08 15:29:54.555839+00:00,Rast Kaffee,250,CHF 8.50,CHF,8.5,1000,CHF 31.90,31.9,Einzelsorte,Äthiopien,Äthiopien,,,,
44,44,Limu,"Aprikose, tropische Früchte, Schwarztee",https://www.rastshop.ch/de/kaffee/limu,250 g à CHF 7.80,1 kg à CHF 28.90,2022-12-08 15:29:54.560355+00:00,Rast Kaffee,250,CHF 7.80,CHF,7.8,1000,CHF 28.90,28.9,Einzelsorte,Äthiopien,Äthiopien,,,,
45,45,Nyeri,"Grapefruit, Cassis",https://www.rastshop.ch/de/kaffee/nyeri-kenia,250 g à CHF 8.80,1 kg à CHF 32.90,2022-12-08 15:29:54.642777+00:00,Rast Kaffee,250,CHF 8.80,CHF,8.8,1000,CHF 32.90,32.9,Einzelsorte,Kenia,Kenia,,,,
46,46,Bukoba Bio Fairtrade,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.650714+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Einzelsorte,Tansania,Tansania,,,,
47,47,Laurina Pointu de Bourbon,"Litschi, Gewürze, Kakao",https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon,250 g à CHF 122.00,1 kg à CHF 486.00,2022-12-08 15:29:54.655899+00:00,Rast Kaffee,250,CHF 122.00,CHF,122.0,1000,CHF 486.00,486.0,Einzelsorte,LaRéunion,LaRéunion,,,,
48,48,Butihinda,"Schwarztee, Pfirsich",https://www.rastshop.ch/de/kaffee/butihinda,250 g à CHF 9.30,1 kg à CHF 34.90,2022-12-08 15:29:54.660582+00:00,Rast Kaffee,250,CHF 9.30,CHF,9.3,1000,CHF 34.90,34.9,Einzelsorte,Burundi,Burundi,,,,
49,49,Somaho,"Mango, Pfirsich, leicht blumig",https://www.rastshop.ch/de/kaffee/somaho,250 g à CHF 10.30,1 kg à CHF 38.90,2022-12-08 15:29:54.665328+00:00,Rast Kaffee,250,CHF 10.30,CHF,10.3,1000,CHF 38.90,38.9,Einzelsorte,Rwanda,Rwanda,,,,
50,50,Java Baron,"Kakao, Walnuss, leichte Tabaknoten",https://www.rastshop.ch/de/kaffee/java-baron,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.670192+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Einzelsorte,Indonesien,Indonesien,,,,
51,51,"Mandheling, Gold","würzig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/mandheling-gold,250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 15:29:54.675050+00:00,Rast Kaffee,250,CHF 7.30,CHF,7.3,1000,CHF 26.90,26.9,Einzelsorte,Indonesien,Indonesien,,,,
52,52,Malabar,"nussig, mild, Gewürze",https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.680074+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Einzelsorte,Indien,Indien,,,,
53,53,Plantation RFA,"würzig, Schokolade, leicht Pflaume",https://www.rastshop.ch/de/kaffee/plantation-rfa,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.685054+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Einzelsorte,Indien,Indien,,,,
54,54,Kerkeicoondah,"nussig, würzig, schokoladig",https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm,250 g à CHF 9.30,1 kg à CHF 34.90,2022-12-08 15:29:54.690072+00:00,Rast Kaffee,250,CHF 9.30,CHF,9.3,1000,CHF 34.90,34.9,Einzelsorte,Indien,Indien,,,,
55,55,Ponya,"reife Erdbeeren, Mascarpone",https://www.rastshop.ch/de/kaffee/ponya-palthope-estate,250 g à CHF 10.30,1 kg à CHF 38.90,2022-12-08 15:29:54.695162+00:00,Rast Kaffee,250,CHF 10.30,CHF,10.3,1000,CHF 38.90,38.9,Einzelsorte,Indien,Indien,,,,
56,56,Chin Litäi,"Beeren, Orange",https://www.rastshop.ch/de/kaffee/chin-litai,250 g à CHF 9.30,1 kg à CHF 34.90,2022-12-08 15:29:54.700170+00:00,Rast Kaffee,250,CHF 9.30,CHF,9.3,1000,CHF 34.90,34.9,Einzelsorte,Myanmar,Myanmar,,,,
57,57,Sigri,"nussig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/sigri-estate-plantation,250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 15:29:54.704990+00:00,Rast Kaffee,250,CHF 7.30,CHF,7.3,1000,CHF 26.90,26.9,Einzelsorte,Papua-Neuguinea,Papua-Neuguinea,,,,
58,58,Dornröschen,"dunkle Schokolade, getrocknete Aprikosen",https://www.rastshop.ch/de/kaffee/dornroschen,250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 15:29:54.709850+00:00,Rast Kaffee,250,CHF 7.30,CHF,7.3,1000,CHF 26.90,26.9,Koffeinfreie Mischung,Brasilien,Brasilien,,,,
59,59,Koffeinfrei Fairtrade,Schokolade,https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.717049+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Koffeinfreie Mischung,Peru,Peru,,,,
