,Unnamed: 0_x,name,taste_x,url_x,timestamp_x,retailer_x,label,roastlevel,Weight250_x,curreny_x,price250_x,Weight1000_x,price1000_x,typ_x,origin_list_x,country1_x,country2_x,country3_x,country4_x,country5_x,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure,Unnamed: 0_y,taste_y,url_y,timestamp_y,retailer_y,Weight250_y,curreny_y,price250_y,Weight1000_y,price1000_y,typ_y,origin_list_y,country1_y,country2_y,country3_y,country4_y,country5_y
0,0,Tavola Espresso,"Kakao, geröstete Haselnuss",https://www.rastshop.ch/de/kaffee/tavola-espresso,2022-12-09 08:41:22.699349+00:00,Rast Kaffee,,61.25,250,CHF,7.0,1000,25.9,Espresso-Mischung,"Brasilien,CostaRica,Guatemala,Indien",Brasilien,CostaRica,Guatemala,Indien,,4,3,3,1,2,4,3,2,4,4,2,,,,,,,,,,,,,,,,,
1,1,Mocca,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,2022-12-09 08:41:23.050507+00:00,Rast Kaffee,,55.0,250,CHF,6.5,1000,23.9,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,,3,3,4,3,2,4,4,3,4,3,1,0.0,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,2022-12-09 08:44:19.458946+00:00,Rast Kaffee,250.0,CHF,6.3,1000.0,22.9,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,
2,2,Visconti,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,2022-12-09 08:41:23.111444+00:00,Rast Kaffee,,57.5,250,CHF,6.5,1000,23.9,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,,3,3,4,2,2,5,4,3,4,3,1,1.0,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,2022-12-09 08:44:19.498347+00:00,Rast Kaffee,250.0,CHF,6.3,1000.0,22.9,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,
3,3,Wiener,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,2022-12-09 08:41:23.122361+00:00,Rast Kaffee,,58.75,250,CHF,6.8,1000,24.9,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,,3,3,3,2,0,5,4,2,4,3,1,2.0,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,2022-12-09 08:44:19.567166+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,
4,4,Eldorado,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,2022-12-09 08:41:23.132514+00:00,Rast Kaffee,,51.25,250,CHF,7.0,1000,25.9,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,,3,2,2,3,3,3,2,1,3,3,2,3.0,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,2022-12-09 08:44:19.660523+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,
5,5,Premium,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,2022-12-09 08:41:23.143021+00:00,Rast Kaffee,,51.25,250,CHF,7.0,1000,25.9,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,,3,4,1,1,3,1,2,3,2,3,2,4.0,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,2022-12-09 08:44:19.669936+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,
6,6,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,2022-12-09 08:41:23.164756+00:00,Rast Kaffee,,55.0,250,CHF,7.0,1000,25.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien,3,3,1,1,3,2,1,1,4,4,4,5.0,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,2022-12-09 08:44:19.841858+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
7,7,Festival,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,2022-12-09 08:41:23.174620+00:00,Rast Kaffee,,55.0,250,CHF,7.5,1000,27.9,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,,3,3,2,1,3,2,1,1,2,3,5,6.0,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,2022-12-09 08:44:19.851279+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,
8,8,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,2022-12-09 08:41:23.183367+00:00,Rast Kaffee,,57.5,250,CHF,7.5,1000,27.9,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala,3,3,0,5,5,5,1,0,4,2,5,7.0,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,2022-12-09 08:44:19.858951+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala
9,9,Latino No 5,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,2022-12-09 08:41:23.289326+00:00,Rast Kaffee,,55.0,250,CHF,9.0,1000,33.9,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien,3,5,0,2,4,4,1,1,5,2,5,8.0,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,2022-12-09 08:44:19.866701+00:00,Rast Kaffee,250.0,CHF,9.0,1000.0,33.9,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien
10,10,Fairtrade Crème,"dunkle Schokolade, Haselnuss, Karamell",https://www.rastshop.ch/de/kaffee/fairtrade-creme,2022-12-09 08:41:23.302477+00:00,Rast Kaffee,Fairtrade,55.0,250,CHF,7.3,1000,26.9,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,,3,2,3,4,5,3,4,3,3,2,2,9.0,"dunkle Schokolade, Haselnuss, Karamell",https://www.rastshop.ch/de/kaffee/fairtrade-creme,2022-12-09 08:44:19.969206+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,
11,11,Bio Crème,"Waldbeere, schwarze Kirsche",https://www.rastshop.ch/de/kaffee/bio-creme,2022-12-09 08:41:23.310589+00:00,Rast Kaffee,Bio,56.25,250,CHF,7.8,1000,28.9,Kaffee-Mischung,"Peru,Äthiopien,Indonesien",Peru,Äthiopien,Indonesien,,,3,3,0,5,4,5,1,0,4,2,5,10.0,"Waldbeere, schwarze Kirsche",https://www.rastshop.ch/de/kaffee/bio-creme,2022-12-09 08:44:19.980649+00:00,Rast Kaffee,250.0,CHF,7.8,1000.0,28.9,Kaffee-Mischung,"Peru,Äthiopien,Indonesien",Peru,Äthiopien,Indonesien,,
12,12,Rainforest Crème,"Baumnuss, Schokolade, herb",https://www.rastshop.ch/de/kaffee/rainforest-creme,2022-12-09 08:41:23.318115+00:00,Rast Kaffee,Rainforest,50.0,250,CHF,6.8,1000,24.9,Kaffee-Mischung,"Guatemala,Brasilien,CostaRica",Guatemala,Brasilien,CostaRica,,,3,3,3,1,2,4,4,2,2,3,1,11.0,"Baumnuss, Schokolade, herb",https://www.rastshop.ch/de/kaffee/rainforest-creme,2022-12-09 08:44:19.987271+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Kaffee-Mischung,"Guatemala,Brasilien,CostaRica",Guatemala,Brasilien,CostaRica,,
13,13,Christmas Edition,"Datteln, Orange, leicht Nelke",https://www.rastshop.ch/de/kaffee/christmas-edition,2022-12-09 08:41:23.326164+00:00,Rast Kaffee,,,250,CHF,8.8,1000,32.9,Kaffee-Mischung,"Brasilien,Indien,Indonesien,Kenia",Brasilien,Indien,Indonesien,Kenia,,0,3,2,1,3,5,3,2,3,3,3,,,,,,,,,,,,,,,,,
14,14,Jubiläums-Edition,"Aprikose, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/jubilaums-edition,2022-12-09 08:41:23.334137+00:00,Rast Kaffee,,55.0,250,CHF,7.5,1000,27.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien,3,4,1,2,4,2,1,1,5,4,4,12.0,"Aprikose, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/jubilaums-edition,2022-12-09 08:44:19.993759+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
15,15,Tavola Crème,"dunkle Schokolade, Walnuss",https://www.rastshop.ch/de/kaffee/tavola-creme,2022-12-09 08:41:23.342500+00:00,Rast Kaffee,,56.25,250,CHF,6.8,1000,24.9,Kaffee-Mischung,"Brasilien,CostaRica,Guatemala,Indien",Brasilien,CostaRica,Guatemala,Indien,,3,4,2,0,1,3,3,2,3,3,1,,,,,,,,,,,,,,,,,
16,16,Home-Office,"Haselnuss, getrocknete Aprikose",https://www.rastshop.ch/de/kaffee/home-office,2022-12-09 08:41:23.350156+00:00,Rast Kaffee,,48.75,250,CHF,7.5,1000,27.9,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,,3,4,1,2,3,3,2,1,2,3,3,13.0,"Haselnuss, getrocknete Aprikose",https://www.rastshop.ch/de/kaffee/home-office,2022-12-09 08:44:20.000130+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,
17,17,Milano,"dunkle Schokolade, würzig",https://www.rastshop.ch/de/kaffee/milano,2022-12-09 08:41:23.357247+00:00,Rast Kaffee,,61.25,250,CHF,6.8,1000,24.9,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,,4,3,3,0,0,3,5,4,4,4,1,14.0,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/milano,2022-12-09 08:44:20.006507+00:00,Rast Kaffee,250.0,CHF,6.3,1000.0,22.9,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,
18,18,Roma,"würzig, angenehme Röstaromen",https://www.rastshop.ch/de/kaffee/roma,2022-12-09 08:41:23.364144+00:00,Rast Kaffee,,73.75,250,CHF,7.0,1000,25.9,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,,4,2,4,1,0,3,4,4,3,3,1,15.0,"würzig, angenehme Röstaromen",https://www.rastshop.ch/de/kaffee/roma,2022-12-09 08:44:20.012805+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,
19,19,Sicilia,"nussig, Bittermandel",https://www.rastshop.ch/de/kaffee/sicilia,2022-12-09 08:41:23.371451+00:00,Rast Kaffee,,88.75,250,CHF,6.8,1000,24.9,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,,5,2,5,0,0,4,3,5,4,4,0,16.0,"nussig, Bittermandel",https://www.rastshop.ch/de/kaffee/sicilia,2022-12-09 08:44:20.019056+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,
20,20,Venezia,"süsse, rote Beeren",https://www.rastshop.ch/de/kaffee/venezia,2022-12-09 08:41:23.379243+00:00,Rast Kaffee,,63.75,250,CHF,7.0,1000,25.9,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,,4,4,2,2,3,3,3,2,3,3,2,17.0,"süsse, rote Beeren",https://www.rastshop.ch/de/kaffee/venezia,2022-12-09 08:44:20.025362+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,
21,21,Vesuvio,"würzig, leichte Rauchnote",https://www.rastshop.ch/de/kaffee/vesuvio,2022-12-09 08:41:23.386588+00:00,Rast Kaffee,,73.75,250,CHF,7.0,1000,25.9,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,,4,1,4,0,0,1,4,4,4,4,2,18.0,"würzig, leichte Rauchnote",https://www.rastshop.ch/de/kaffee/vesuvio,2022-12-09 08:44:20.031716+00:00,Rast Kaffee,250.0,CHF,6.6,1000.0,24.4,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,
22,22,Barista Espresso,"Mandel, Zitrusnote",https://www.rastshop.ch/de/kaffee/barista-espresso,2022-12-09 08:41:23.393532+00:00,Rast Kaffee,,58.75,250,CHF,7.0,1000,25.9,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien,3,3,1,0,3,3,2,2,4,4,3,19.0,"Mandel, Zitrusnote",https://www.rastshop.ch/de/kaffee/barista-espresso,2022-12-09 08:44:20.038071+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien
23,23,Tropical Rainforest,"Süssholz, Karamell, gebrannte Mandeln",https://www.rastshop.ch/de/kaffee/tropical-rainforest,2022-12-09 08:41:23.400550+00:00,Rast Kaffee,,66.25,250,CHF,6.5,1000,23.9,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,,4,1,4,0,2,5,3,4,4,4,1,20.0,"Süssholz, Karamell, gebrannte Mandeln",https://www.rastshop.ch/de/kaffee/tropical-rainforest,2022-12-09 08:44:20.044488+00:00,Rast Kaffee,250.0,CHF,6.3,1000.0,22.9,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,
24,24,Fairtrade Espresso,"Haselnuss, Süssholz, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/fairtrade-espresso,2022-12-09 08:41:23.407882+00:00,Rast Kaffee,Fairtrade,61.25,250,CHF,6.8,1000,24.9,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,,4,4,3,0,2,4,4,3,4,4,3,21.0,"Haselnuss, leicht erdig, zartbitter, Süssholz",https://www.rastshop.ch/de/kaffee/fairtrade-espresso,2022-12-09 08:44:20.050787+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,
25,25,Bio Espresso,dunkle Nussschokolade,https://www.rastshop.ch/de/kaffee/bio-espresso,2022-12-09 08:41:23.427794+00:00,Rast Kaffee,Bio,63.75,250,CHF,7.5,1000,27.9,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,,4,2,3,1,1,4,4,3,4,4,2,22.0,dunkle Nussschokolade,https://www.rastshop.ch/de/kaffee/bio-espresso,2022-12-09 08:44:20.057116+00:00,Rast Kaffee,250.0,CHF,7.5,1000.0,27.9,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,
26,26,Rainforest Espresso,"Bittermandel, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/rainforest-espresso,2022-12-09 08:41:23.438316+00:00,Rast Kaffee,Rainforest,56.25,250,CHF,6.5,1000,23.9,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,,3,2,4,0,2,3,4,4,4,4,2,23.0,"Bittermandel, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/rainforest-espresso,2022-12-09 08:44:20.063424+00:00,Rast Kaffee,250.0,CHF,6.3,1000.0,22.9,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,
27,27,Palmichal,"Asam, Lakritz, Pfirsich",https://www.rastshop.ch/de/kaffee/palmichal,2022-12-09 08:41:23.480096+00:00,Rast Kaffee,,50.0,250,CHF,8.3,1000,30.9,Einzelsorte,CostaRica,CostaRica,,,,,3,5,1,1,4,2,2,1,4,3,3,,,,,,,,,,,,,,,,,
